Date,Site_Number,Depth_Bin,Quadrat_Number,Species,Percent_Cover,Height (cm),Notes,Observer,Data Entry Questions/notes
2/12/23,1,Shallow,1,Halophila,40,4,,Darian,
2/12/23,1,Shallow,2,Halophila,15,3,,Darian,
2/12/23,1,Shallow,3,Halophila,70,5,,Darian,
2/12/23,1,Shallow,4,Halophila,30,4,,Darian,
2/12/23,1,Shallow,5,Halophila,35,3,,Darian,
2/12/23,1,Shallow,1,Syringodium ,30,10,,Darian,
2/12/23,1,Shallow,2,Syringodium ,10,8,,Darian,
2/12/23,1,Shallow,3,Syringodium ,5,10,,Darian,
2/12/23,1,Shallow,4,Syringodium ,10,8,,Darian,
2/12/23,1,Shallow,5,Syringodium ,10,3,,Darian,
2/12/23,1,Shallow,1,Halophila,75,3,,Madi,
2/12/23,1,Shallow,2,Halophila,30,2,,Madi,
2/12/23,1,Shallow,3,Halophila,65,3,,Madi,
2/12/23,1,Shallow,4,Halophila,85,4,,Madi,
2/12/23,1,Shallow,5,Halophila,75,3,,Madi,
2/12/23,1,Shallow,1,Syringodium ,10,5,,Madi,
2/12/23,1,Shallow,2,Syringodium ,10,5,,Madi,
2/12/23,1,Shallow,3,Syringodium ,5,6,,Madi,
2/12/23,1,Shallow,4,Syringodium ,5,5,,Madi,
2/12/23,1,Shallow,5,Syringodium ,10,8,,Madi,
2/12/23,1,Intermediate,1,Halophila,20,5,,Greg,
2/12/23,1,Intermediate,2,Halophila,15,5,,Greg,
2/12/23,1,Intermediate,3,Halophila,5,6,,Greg,
2/12/23,1,Intermediate,4,Halophila,0,0,,Greg,
2/12/23,1,Intermediate,5,Halophila,0,0,,Greg,
2/12/23,1,Intermediate,1,Syringodium ,20,35,,Greg,
2/12/23,1,Intermediate,2,Syringodium ,25,55,,Greg,
2/12/23,1,Intermediate,3,Syringodium ,45,30,,Greg,
2/12/23,1,Intermediate,4,Syringodium ,60,40,,Greg,
2/12/23,1,Intermediate,5,Syringodium ,70,35,,Greg,
2/12/23,1,Intermediate,1,Halophila,40,4,,Kianna,
2/12/23,1,Intermediate,2,Halophila,40,5,,Kianna,
2/12/23,1,Intermediate,3,Halophila,20,3,,Kianna,
2/12/23,1,Intermediate,4,Halophila,80,4,,Kianna,
2/12/23,1,Intermediate,5,Halophila,50,3,,Kianna,
2/12/23,1,Intermediate,1,Syringodium ,10,10,,Kianna,
2/12/23,1,Intermediate,2,Syringodium ,20,12,,Kianna,
2/12/23,1,Intermediate,3,Syringodium ,30,10,,Kianna,
2/12/23,1,Intermediate,4,Syringodium ,20,12,,Kianna,
2/12/23,1,Intermediate,5,Syringodium ,10,15,,Kianna,
2/12/23,2,Deep,1,Macroalgae,45,<1cm,,Avery,
2/12/23,2,Deep,2,Macroalgae,56,<1cm,,Avery,
2/12/23,2,Deep,3,Macroalgae,60,<1cm,,Avery,
2/12/23,2,Deep,4,Macroalgae,31,<1cm,,Avery,
2/12/23,2,Deep,5,Macroalgae,15,<1cm,,Avery,
2/12/23,2,Deep,5,Other,1,NA,Sponge,Avery,changed from <1 to 1
2/12/23,2,Deep,1,Other,50,<1cm,Bacteria/Turf Algae,James,
2/12/23,2,Deep,2,Other,40,<1cm,Bacteria/Turf Algae,James,
2/12/23,2,Deep,3,Other,40,<1cm,Bacteria/Turf Algae,James,
2/12/23,2,Deep,4,Other,30,<1cm,Bacteria/Turf Algae,James,
2/12/23,2,Deep,5,Other,70,<1cm,Bacteria/Turf Algae,James,
2/12/23,2,Intermediate,2,Halophila,2,1.5,,Darian,
2/12/23,2,Intermediate,3,Halophila,4,3,,Darian,
2/12/23,2,Intermediate,4,Halophila,4,2,,Darian,
2/12/23,2,Intermediate,5,Halophila,3,2,,Darian,
2/12/23,2,Intermediate,1,Macroalgae,10,,,Darian,
2/12/23,2,Intermediate,4,Macroalgae,5,,,Darian,
2/12/23,2,Intermediate,5,Syringodium ,1,12,,Darian,
2/12/23,2,Intermediate,1,Halophila,3,2,,Stef,
2/12/23,2,Intermediate,2,Halophila,15,2,3-5 urchins,Stef,
2/12/23,2,Intermediate,3,Halophila,45,3,,Stef,
2/12/23,2,Intermediate,4,Halophila,50,3,,Stef,
2/12/23,2,Intermediate,5,Halophila,35,2.5,lots of macroalgae ,Stef,
2/12/23,2,Shallow,1,Halophila,1,2,,Madi,
2/12/23,2,Shallow,2,Halophila,10,3,,Madi,
2/12/23,2,Shallow,3,Halophila,25,3,,Madi,
2/12/23,2,Shallow,4,Halophila,30,2,,Madi,
2/12/23,2,Shallow,5,Halophila,10,4,,Madi,
2/12/23,2,Shallow,1,Halophila,30,4,,Kianna,
2/12/23,2,Shallow,2,Halophila,20,3,,Kianna,
2/12/23,2,Shallow,3,Halophila,10,3.5,,Kianna,
2/12/23,2,Shallow,4,Halophila,20,4,rocks,Kianna,
2/12/23,2,Shallow,5,Halophila,10,2,rocks,Kianna,
2/12/23,3,Intermediate,1,Halophila,20,6,,Greg,
2/12/23,3,Intermediate,2,Halophila,80,5,,Greg,
2/12/23,3,Intermediate,3,Halophila,25,5.5,,Greg,
2/12/23,3,Intermediate,4,Halophila,50,6,,Greg,
2/12/23,3,Intermediate,5,Halophila,35,4.9,,Greg,
2/12/23,3,Intermediate,3,Syringodium ,25,27,,Greg,
2/12/23,3,Intermediate,4,Syringodium ,10,29,,Greg,
2/12/23,3,Intermediate,5,Syringodium ,30,31,,Greg,
2/12/23,3,Intermediate,1,Macroalgae,30,25,,Greg,
2/12/23,3,Intermediate,2,Macroalgae,10,10,,Greg,
2/12/23,3,Intermediate,3,Macroalgae,15,25,,Greg,
2/12/23,3,Intermediate,5,Macroalgae,10,23,,Greg,
2/12/23,3,Intermediate,1,Halophila,10,3,,Natalie,
2/12/23,3,Intermediate,2,Halophila,30,2,,Natalie,
2/12/23,3,Intermediate,3,Halophila,30,4,,Natalie,
2/12/23,3,Intermediate,4,Halophila,5,2,,Natalie,
2/12/23,3,Intermediate,3,Syringodium ,5,20,,Natalie,
2/12/23,3,Intermediate,4,Syringodium ,50,25,,Natalie,
2/12/23,3,Intermediate,5,Syringodium ,40,17,,Natalie,
2/12/23,3,Intermediate,1,Macroalgae,10,5,,Natalie,
2/12/23,3,Intermediate,2,Macroalgae,5,10,,Natalie,
2/12/23,3,Intermediate,3,Macroalgae,5,16,,Natalie,
2/12/23,3,Intermediate,4,Macroalgae,5,5,,Natalie,
2/12/23,3,Intermediate,5,Macroalgae,5,10,,Natalie,
2/12/23,3,Deep,1,Halophila,95,8.5,,James,
2/12/23,3,Deep,2,Halophila,100,10,,James,
2/12/23,3,Deep,3,Halophila,100,9,,James,
2/12/23,3,Deep,4,Halophila,98,8,,James,
2/12/23,3,Deep,5,Halophila,98,7,,James,
2/12/23,3,Deep,1,Other,5,,sponges,James,
2/12/23,3,Deep,2,Other,1,,scattered sponges,James,
2/12/23,3,Deep,4,Other,1,,finger sponges,James,
2/12/23,3,Deep,1,Halophila,95,6,sponges intermixed,Avery,ask about heights are these for macroalgae or halophila
2/12/23,3,Deep,2,Halophila,97,7.1,sponges intermixed,Avery,
2/12/23,3,Deep,3,Halophila,97,7.8,sponges intermixed,Avery,
2/12/23,3,Deep,4,Halophila,98,7.7,sponges intermixed,Avery,
2/12/23,3,Deep,5,Halophila,96,6.9,sponges intermixed,Avery,
2/12/23,4,Deep,1,Halophila,65,5,,James,
2/12/23,4,Deep,2,Halophila,63,5,,James,
2/12/23,4,Deep,3,Halophila,98,7,,James,
2/12/23,4,Deep,4,Halophila,90,3.5,,James,
2/12/23,4,Deep,5,Halophila,90,5,,James,
2/12/23,4,Deep,1,Macroalgae,20,8,green calcified algae,James,
2/12/23,4,Deep,2,Macroalgae,10,0,green calcified algae,James,
2/12/23,4,Deep,3,Other,0,0,a few sponges,James,no percentage listed changed to  0
2/12/23,4,Deep,5,Other,0,0,few scattered sponges,James,no percentage listed changed to 0
2/12/23,4,Deep,1,Halophila,30,3,green algae,Darian,
2/12/23,4,Deep,2,Halophila,50,4,green algae ,Darian,
2/12/23,4,Deep,3,Halophila,70,7,,Darian,
2/12/23,4,Deep,4,Halophila,60,6,,Darian,
2/12/23,4,Deep,5,Halophila,65,6,,Darian,
2/13/23,4,Deep,1,Macroalgae,20,8,,Darian,
2/14/23,4,Deep,2,Macroalgae,10,6,,Darian,
2/16/23,4,Intermediate,1,Halophila,15,3,algae on grass,Sabrina,
2/16/23,4,Intermediate,2,Halophila,30,2,cork screw anamone a lot of holes,Sabrina,
2/16/23,4,Intermediate,3,Halophila,2,2,,Sabrina,
2/16/23,4,Intermediate,4,Halophila,2,2,a lot of big holes,Sabrina,
2/16/23,4,Intermediate,5,Halophila,90,4,,Sabrina,
2/16/23,4,Intermediate,2,Macroalgae,3,,alot of goby holes,Sabrina,
2/16/23,4,Intermediate,3,Macroalgae,1,,alot of goby holes,Sabrina,
2/16/23,4,Intermediate,4,Macroalgae,1,,alot of goby holes,Sabrina,
2/16/23,4,Intermediate,5,Macroalgae,1,,alot of goby holes,Sabrina,
2/16/23,4,Intermediate,1,Halophila,65,2,,Stef,
2/16/23,4,Intermediate,2,Halophila,60,2.5,sand mounds with holes in halophila,Stef,
2/16/23,4,Intermediate,3,Halophila,5,2,turf algae,Stef,
2/16/23,4,Intermediate,4,Halophila,3,2,,Stef,
2/16/23,4,Intermediate,5,Halophila,90,4.5,,Stef,
2/16/23,4,Intermediate,3,Macroalgae,2,0.5,,Stef,
2/16/23,4,Intermediate,4,Macroalgae,1,0.25,,Stef,
2/16/23,4,Intermediate,1,Other,2,,gorgonian,Stef,
2/16/23,4,Shallow,1,Halophila,20,3,,Madi,
2/16/23,4,Shallow,2,Halophila,5,1.5,,Madi,
2/16/23,4,Shallow,3,Halophila,10,2,,Madi,
2/16/23,4,Shallow,4,Halophila,40,2,,Madi,
2/16/23,4,Shallow,5,Halophila,15,3,,Madi,
2/16/23,4,Shallow,1,Halophila,40,2.5,,Jordan,
2/16/23,4,Shallow,2,Halophila,50,4.5,,Jordan,
