"","Transect","N","Species_Richness","simpsons","depth","PCovHalophila","PCovMacroalgae","PCovOther","PCovThalassia","PCovHalodule","PCovRubble","PCovSyringodium","nativecover","totalcover","PCovSand"
"1","1 Intermediate",18,8,0.849673202614379,10.12919984,27,0,0,0,0,0,31,31,58,42
"2","1 Shallow",20,5,0.763157894736842,1.7619999755,52,0,0,0,0,0,10.5,10.5,62.5,37.5
"3","10 Deep",24,4,0.630434782608696,22.85999927,0.3,21,0,0,0,0,0,0,21.3,78.7
"4","10 Intermediate",4,3,0.833333333333333,9.448799698,11.1,8,0,0,0,0,0.5,0.5,19.6,80.4
"5","10 Shallow",13,5,0.756410256410256,4.185999927,9.6,1,5,0,0,0,0,0,15.6,84.4
"6","11 Deep",35,9,0.705882352941176,21.488399315,83.9,1.7,2.6,0,0,0,0,0,88.2,11.8
"7","11 Intermediate",16,7,0.841666666666667,18.44039941,93.2,0,0,0,0,0,0,0,93.2,6.8
"8","11 Shallow",8,3,0.607142857142857,1.9,49,19.2,0,0,0,0,12.8,12.8,81,19
"9","12 Deep",36,10,0.804761904761905,22.85999927,88.4,0.2,1.1,0,0,0,0,0,89.7,10.3
"10","12 Shallow",3,3,0.666666666666667,6.357599883,82.2222222222222,0,0,0,0,0,0,0,82.2222222222222,17.7777777777778
"11","13 Deep",40,10,0.837179487179487,21.33599932,93.2,2.3,0.3,0,0,0,0,0,95.8,4.2
"12","13 Intermediate",15,8,0.914285714285714,12.4967996,93.3,0,0,0,0,0,0,0,93.3,6.7
"13","13 Shallow",54,8,0.677148846960168,4.435999927,0,24.2,22.6,0,0,52.2,0,0,99,1
"14","14 Deep",27,8,0.726495726495726,23.621999245,85.5,10,2.8,0,0,0,0,0,98.3,1.7
"15","14 Intermediate",16,8,0.9,18.28799941,88,0,0,0,0,0,0,0,88,12
"16","14 Shallow",23,5,0.320158102766798,4.571999854,39.5,4,0,0,0,0,34,34,77.5,22.5
"17","15 Deep",84,9,0.448078026391279,22.55519928,95.4,0.7,1.9,0,0,0,0,0,98,1.99999999999999
"18","15 Intermediate",3,3,0.666666666666667,17.1,93.4,1.3,0,0,0,0,0,0,94.7,5.3
"19","15 Shallow",26,8,0.821538461538462,9.753599688,35.8,2,26.9,0,2.6,0,0,2.6,67.3,32.7
"20","16 Deep",30,8,0.827586206896552,21.64079931,93,0.1,0,0,0,0,0,0,93.1,6.90000000000001
"21","16 Intermediate",53,5,0.678519593613933,10.66799966,37.2,26.5,0,0,0,0,0,0,63.7,36.3
"22","16 Shallow",40,3,0.521794871794872,1.219199961,20,1.1,0,0,8.5,0,0,8.5,29.6,70.4
"23","17 Deep",10,5,0.866666666666667,20.72639934,88,0,0,0,0,0,0,0,88,12
"24","17 Intermediate",33,8,0.831439393939394,13.563599565,85.5,5.2,0,0,0,0,0,0,90.7,9.3
"25","17 Shallow",2,2,1,1.523999951,36,0.1,0,0,20,0,0,20,56.1,43.9
"26","18 Shallow",11,6,0.890909090909091,2.133599932,68,15,0,0,0,0,0,0,83,17
"27","19 Deep",44,6,0.782241014799154,24.07919923,0.875,59.625,0,0,0,2.5,0,0,63,37
"28","19 Intermediate",10,6,0.888888888888889,9.574399849,10,44.5,0,0,0,0,10.5,10.5,65,35
"29","19 Shallow",11,4,0.6,1.4,41.5,0,3,0,0,0,0,0,44.5,55.5
"30","2 Deep",19,4,0.684210526315789,23.77439924,0,20.7,23.1,0,0,0,0,0,43.8,56.2
