"","Common.Names","Date","Site_Number","Depth_Bin","Fish_Number","Size","Observer","data.entry.questions","Common_Names","X","Size_Bins","Scientific.Names","Family"
"1","Bandtail Puffer","2/12/23",3,"Intermediate",125,"3-4cm","Greg","","",NA,"129","Sphoeroides spengleri","Tetraodontidae"
"2","Bandtail Puffer","2/12/23",3,"Intermediate",126,"3-4cm","Greg","","",NA,"130","Sphoeroides spengleri","Tetraodontidae"
"3","Bandtail Puffer","2/12/23",3,"Intermediate",38,"<2","Natalie","","Ocean Surgeonfish",NA,"46","Sphoeroides spengleri","Tetraodontidae"
"4","Bandtail Puffer","2/12/23",3,"Intermediate",127,"6-10cm","Greg","","",NA,"131","Sphoeroides spengleri","Tetraodontidae"
"5","Barred Hamlet","2/21/23",13,"Deep",1289,"3-4cm","James","","",NA,"","Hypoplectrus puella","Serranidae"
"6","Barred Hamlet","2/25/23",20,"Deep",398,"6-10cm","Greg","","",NA,"","Hypoplectrus puella","Serranidae"
"7","Barred Hamlet","2/21/23",13,"Deep",1270,"3-4cm","Greg","","",NA,"","Hypoplectrus puella","Serranidae"
"8","Barred Hamlet","2/21/23",13,"Deep",1287,"2-3cm","James","","",NA,"","Hypoplectrus puella","Serranidae"
"9","Barred Hamlet","2/18/23",12,"Deep",1227,"6-10cm","Greg","","",NA,"","Hypoplectrus puella","Serranidae"
"10","Barred Hamlet","2/21/23",13,"Deep",1271,"6-10cm","Greg","","",NA,"","Hypoplectrus puella","Serranidae"
"11","Barred Hamlet","2/25/23",20,"Deep",916,"6-10cm","Greg","","",NA,"","Hypoplectrus puella","Serranidae"
"12","Barred Hamlet","2/21/23",13,"Deep",1288,"3-4cm","James","","",NA,"","Hypoplectrus puella","Serranidae"
"13","Beaugregory Damselfish","2/18/23",12,"Deep",1236,"<2","Avery","","",NA,"","Stegastes leucostictus","Pomacentridae"
"14","Beaugregory Damselfish","2/16/23",7,"Shallow",1401,"4-5cm","Stef","","",NA,"","Stegastes leucostictus","Pomacentridae"
"15","Beaugregory Damselfish","2/18/23",10,"Shallow",1385,"2-3cm","Kianna","","",NA,"","Stegastes leucostictus","Pomacentridae"
"16","Beaugregory Damselfish","2/16/23",7,"Shallow",1402,"4-5cm","Stef","","",NA,"","Stegastes leucostictus","Pomacentridae"
"17","Beaugregory Damselfish","2/21/23",13,"Shallow",1318,"3-4cm","Madi","","",NA,"","Stegastes leucostictus","Pomacentridae"
"18","Beaugregory Damselfish","2/16/23",7,"Shallow",1452,"3-4cm","Jordan ","","",NA,"","Stegastes leucostictus","Pomacentridae"
"19","Beaugregory Damselfish","2/21/23",13,"Shallow",1351,"3-4cm","Jordan ","","",NA,"","Stegastes leucostictus","Pomacentridae"
"20","Beaugregory Damselfish","2/21/23",13,"Shallow",1352,"4-5cm","Jordan ","","",NA,"","Stegastes leucostictus","Pomacentridae"
"21","Beaugregory Damselfish","2/16/23",7,"Shallow",1400,"3-4cm","Stef","","",NA,"","Stegastes leucostictus","Pomacentridae"
"22","Beaugregory Damselfish","2/21/23",13,"Shallow",1349,"3-4cm","Jordan ","","",NA,"","Stegastes leucostictus","Pomacentridae"
"23","Beaugregory Damselfish","2/18/23",10,"Shallow",1384,"2-3cm","Kianna","","",NA,"","Stegastes leucostictus","Pomacentridae"
"24","Beaugregory Damselfish","2/21/23",13,"Shallow",1350,"3-4cm","Jordan ","","",NA,"","Stegastes leucostictus","Pomacentridae"
"25","Beaugregory Damselfish","2/16/23",7,"Shallow",1399,"3-4cm","Stef","","",NA,"","Stegastes leucostictus","Pomacentridae"
