Year,Date,Location,Observer,Transect,Quadrat,S.filiforme,T.testudinum,H.wrightii,Halophilastipulacae,PecentSeagrassCover,NumberShoots,NumberShootsH.stipulacae ,SubquadratSize(cmsquared),Height(mm),Height(mm)H.stipulacea,CalculatedSpeciesHeight(mm),PercentMACA,PercentEpiphytes,Grazing/Notes,
2009,11/20/09,South,"EP, SM, NB",1,1,60,0,0,0,60,40,,0.04,55,,55,0,0,,
2009,11/20/09,South,"EP, SM, NB",1,2,15,0,0,0,15,39,,0.04,80,,80,0,0,,
2009,11/20/09,South,"EP, SM, NB",1,3,40,0,0,0,40,49,,0.04,55,,55,5,40,,
2009,11/20/09,South,"EP, SM, NB",1,4,50,0,0,0,50,24,,0.04,40,,40,0,0,,
2009,11/20/09,South,"EP, SM, NB",1,5,30,1,2,0,33,19,,0.04,40,,40,0,30,,
2009,11/20/09,South,"EP, SM, NB",1,6,10,0,0,0,10,37,,0.04,60,,60,1,10,,
2009,11/20/09,South,"EP, SM, NB",1,7,3,10,1,0,14,20,,0.04,65,,65,0,2,,
2009,11/20/09,South,"EP, SM, NB",1,8,15,0,0,0,15,32,,0.04,40,,40,0,4,,
2009,11/20/09,South,"EP, SM, NB",1,9,35,0,0,0,35,8,,0.04,40,,40,0,5,,
2009,11/20/09,South,"EP, SM, NB",1,10,15,0,0,0,15,16,,0.04,85,,85,8,5,,
2010,11/24/10,South,MHK,1,1,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,MHK,1,2,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,MHK,1,3,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,MHK,1,4,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,MHK,1,5,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,MHK,1,6,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,MHK,1,7,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,MHK,1,8,5,0,0,0,5,5,,0.04,100,,100,0,90,Long Stalks,
2010,11/24/10,South,MHK,1,9,5,0,0,0,5,4,,0.04,50,,50,0,90,Short Stalks,
2010,11/24/10,South,MHK,1,10,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,MHK,2,1,7,0,0,0,7,8,,0.04,40,,40,0,95,,
2010,11/24/10,South,MHK,2,2,8,0,0,0,8,6,,0.04,75,,75,0,45,,
2010,11/24/10,South,MHK,2,3,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,MHK,2,4,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,MHK,2,5,5,0,0,0,5,13,,0.04,80,,80,0,95,,
2010,11/24/10,South,MHK,2,6,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,MHK,2,7,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,MHK,2,8,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,MHK,2,9,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,MHK,2,10,25,0,0,0,25,15,,0.04,25,,25,0,50,,
2010,11/24/10,South,AR,3,1,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,AR,3,2,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,AR,3,3,1,0,0,0,1,0,,0.04,19,,19,0,,,
2010,11/24/10,South,AR,3,4,1,0,0,0,1,0,,0.04,22,,22,0,,maca epiphyte,
2010,11/24/10,South,AR,3,5,1,0,0,0,1,0,,0.04,45,,45,1,,maca epiphyte,
2010,11/24/10,South,AR,3,6,5,0,0,0,5,8,,0.04,48,,48,5,,,
2010,11/24/10,South,AR,3,7,5,0,0,0,5,11,,0.04,59,,59,5,,,
2010,11/24/10,South,AR,3,8,1,0,0,0,1,1,,0.04,35,,35,2,,,
2010,11/24/10,South,AR,3,9,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,AR,3,10,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,AR,4,1,0,0,0,0,0,0,,0.04,,,,2,,,
2010,11/24/10,South,AR,4,2,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,South,AR,4,3,10,0,0,0,10,23,,0.04,36,,36,0,,,
2010,11/24/10,South,AR,4,4,0,0,0,0,0,0,,0.04,20,,20,5,,,
2010,11/24/10,South,AR,4,5,0,0,0,0,0,0,,0.04,,,,5,,,
2010,11/24/10,South,AR,4,6,1,0,0,0,1,3,,0.04,,,,0,,,
2010,11/24/10,South,AR,4,7,1,0,0,0,1,2,,0.04,,,,0,,,
2010,11/24/10,South,AR,4,8,0,0,0,0,0,0,,0.04,,,,2,,,
2010,11/24/10,South,AR,4,9,0,0,0,0,0,0,,0.04,,,,1,,,
2010,11/24/10,South,AR,4,10,0,0,0,0,0,0,,0.04,,,,1,,,
2010,11/24/10,Central,CGP,5,1,3,0,0,0,3,2,,0.04,45,,45,0,,90% grazing,
2010,11/24/10,Central,CGP,5,2,0,0,0,0,0,0,,0.04,,,,0,,no seagrass,
2010,11/24/10,Central,CGP,5,3,5,0,0,0,5,13,,0.04,30,,30,0,,50% grazing,
2010,11/24/10,Central,CGP,5,4,0,0,0,0,0,0,,0.04,,,,0,,no seagrass,
2010,11/24/10,Central,CGP,5,5,0,0,0,0,0,0,,0.04,,,,0,,no seagrass,
2010,11/24/10,Central,CGP,5,6,0,0,0,0,0,0,,0.04,,,,0,,no seagrass,
2010,11/24/10,Central,CGP,5,7,0,0,0,0,0,0,,0.04,,,,0,,no seagrass,
2010,11/24/10,Central,CGP,5,8,3,0,0,0,3,4,,0.04,47,,47,0,80,,
2010,11/24/10,Central,CGP,5,9,5,0,0,0,5,6,,0.04,58,,58,0,70,,
2010,11/24/10,Central,CGP,5,10,0,0,0,0,0,0,,0.04,,,,0,,no seagrass,
2010,11/24/10,Central,CGP,6,1,4,0,0,0,4,7,,0.04,20,,20,0,90,,
2010,11/24/10,Central,CGP,6,2,12,0,0,0,12,38,,0.04,20,,20,0,40,,
2010,11/24/10,Central,CGP,6,3,40,1,0,0,41,78,,0.04,19,,19,0,40,,
2010,11/24/10,Central,CGP,6,4,0,0,0,0,0,0,,0.04,,,,1,,no seagrass,
2010,11/24/10,Central,CGP,6,5,0,0,0,0,0,0,,0.04,,,,0,,no seagrass,
2010,11/24/10,Central,CGP,6,6,0,0,0,0,0,0,,0.04,,,,0,,no seagrass,
2010,11/24/10,Central,CGP,6,7,0,0,0,0,0,0,,0.04,,,,0,,no seagrass,
2010,11/24/10,Central,CGP,6,8,0,0,0,0,0,0,,0.04,,,,0,,no seagrass,
2010,11/24/10,Central,CGP,6,9,0,0,0,0,0,0,,0.04,,,,0,,no seagrass,
2010,11/24/10,Central,CGP,6,10,0,0,0,0,0,0,,0.04,,,,0,,no seagrass,
2010,11/24/10,Central,FG,7,1,1,0,0,0,1,2,,0.04,31,,31,0,,,
2010,11/24/10,Central,FG,7,2,1,0,0,0,1,3,,0.04,4,,4,0,,,
2010,11/24/10,Central,FG,7,3,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,Central,FG,7,4,0,0,0,0,0,0,,0.04,,,,5,,,
2010,11/24/10,Central,FG,7,5,0,0,0,0,0,0,,0.04,,,,5,,,
2010,11/24/10,Central,FG,7,6,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,Central,FG,7,7,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,Central,FG,7,8,0,0,0,0,0,0,,0.04,,,,5,,,
2010,11/24/10,Central,FG,7,9,0,0,0,0,0,0,,0.04,,,,0,,,
2010,11/24/10,Central,FG,7,10,0,0,0,0,0,0,,0.04,,,,0,,,
2011,11/23/11,South,"SA,LC,BH",1,1,1,0,0,0,1,1,,0.04,70,,70,0,,,
2011,11/23/11,South,"SA,LC,BH",1,2,1,0,0,0,1,10,,0.04,35,,35,5,,,
2011,11/23/11,South,"SA,LC,BH",1,3,3,0,0,0,3,11,,0.04,48,,48,7,,,
