Year,Location,Transect,Number Conch,,
2010,South,1,0,,
2010,South,2,0,,
2010,South,3,0,,
2010,South ,4,0,,
2010,Central,5,1,,
2010,Central,6,1,,
2010,Central,7,0,,
2010,,8,8,,
2011,,1,0,,
2011,,2,1,,
2011,,3,24,,
2011,,4,0,,
2011,,5,0,,
2011,,6,0,,
2011,,7,0,,
2011,,8,0,,
2012,,1,0,,
2012,,2,0,,
2012,,3,1,,
2012,,4,0,,
2012,,5,0,,
2012,,6,0,,
2012,,7,0,,
2012,,8,0,,
2012,,9,0,,
2013,,1,0,,
2013,,2,0,,
2013,,3,0,,
2013,,4,1,,
2013,,5,0,,
2013,,6,0,,
2013,,7,0,,
2013,,8,2,,
2013,,9,4,,
2014,,1,6,,
2014,,2,5,,
2014,,3,4,,
2014,,4,1,,
2014,,5,4,,
2014,,6,3,,
2014,,7,2,,
2014,,8,2,,
2014,,9,2,,
2015,South,1,0,SH,
2015,Central,2,1,SH,
2015,North,3,72,SH,
2015,South,4,1,AD,
2015,Central,5,0,AD,
2015,North,6,0,AD,
2015,South,7,2,BG,
2015,Central,8,0,BG,
2015,North,9,49,BG,
2015,North,10,296,JC,
2015,South,11,0,JC,
2015,Central,12,1,JC,
2016,South,1,0,,
2016,Central,2,0,,
2016,North,3,106,,
2016,South,4,0,,
2016,Central,5,0,,
2016,North,6,0,,
2016,North,6,1,,
2016,South,7,0,,
2016,South,8,0,,
2016,South,9,0,,
2016,Central,10,0,,
2017,South,1,1,"KH, JT, KJ",
2017,Central,2,0,"KH, JT, KJ",
2017,North,3,6,"KH, JT, KJ",
2017,South,4,0,"AP,KF,MA,OC",
2017,Central,5,0,"AP,KF,MA,OC",
2017,North,6,7,"AP,KF,MA,OC",
2017,South,7,0,"Jessica Nagel, Antonio Farchette, Martha Raymore",
2017,Central,8,0,"Jessica Nagel, Antonio Farchette, Martha Raymore",
2017,North,9,11,"Jessica Nagel, Antonio Farchette, Martha Raymore",
2018,South,1,0,"AL, SC, JM, KS",
2018,Central,2,0,"AL, SC, JM, KS",
2018,North,3,0,"AL, SC, JM, KS",
2018,South,4,0,"SM, DM, BA, JL",
2018,Central,5,0,"SM, DM, BA, JL",
2018,North,6,0,"SM, DM, BA, JL",
2018,South,7,0,"CG, NH, SL, OD",
2018,Central,8,0,"CG, NH, SL, OD",
2018,North,9,0,"CG, NH, SL, OD",
2020,South,1,0,Nicole / Tyler,
2020,South,2,0,Tasha / Lindsay,
2020,South,3,0,Tasha / Lindsay,
2020,Central,4,0,Tyler,
2020,Central,5,0,Nicole,
2020,Central,6,0,Tasha / Lindsay,
2020,North,7,2,Tyler,"1 Milky, 1 Fighting"
2020,North,8,3,Tasha / Lindsay,All Milky Conch
2020,North,9,0,Nicole,
2021,South,1,0,Erin/Kayla,
2021,central,2,0,Erin/Kayla,
2021,South,3,0,Amanda/Becky,
2021,Central,4,0,Lila/Julia/Davis,
2021,North,5,1,Adeline/Laura/Race,1 milk conch
2021,North,6,0,Sierrah/T,
2021,South,7,0,Zachary/Liz,
2021,Central,8,0,Zachary/Liz,
2021,South,9,0,Shamoy/Taylor,
2021,Central,10,1,Shamoy/Taylor,1 milk conch
2022,South,1,0,AC/JP/NM/KD,
2022,North,3,0,AC/JP/NM/KD,
2022,Central ,2,0,AC/JP/NM/KD,
2022,South,4,0,Stefanie/Maddie/Kaitlin,
2022,North,6,0,Stefanie/Maddie/Kaitlin,
2022,Central ,5,0,Stefanie/Maddie/Kaitlin,
2022,North,9,0,Greg/Kianna/CJ,
2022,South ,7,0,Greg/Kianna/CJ,
2022,Central ,8,0,Greg/Kianna/CJ,
2022,North,12,0,"Sabrina, Jordan, Darian",
2022,South ,10,0,"Sabrina, Jordan, Darian",
2022,Central ,11,0,"Sabrina, Jordan, Darian",
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
