"","sampleday","octo","eggpresence"
"1",1,1,0
"2",1,2,0
"3",2,3,0
"4",2,4,0
"5",2,5,0
"6",4,6,0
"7",4,7,0
"8",6,8,0
"9",6,9,0
"10",6,10,0
"11",6,11,0
"12",6,12,0
"13",7,13,0
"14",7,14,0
"15",7,15,0
"16",7,16,0
"17",8,17,0
"18",8,18,0
"19",8,19,0
"20",9,20,0
"21",9,1,0
"22",10,2,0
"23",10,3,0
"24",10,4,0
"25",10,5,0
"26",10,6,0
"27",10,7,0
"28",10,8,0
"29",11,9,0
"30",11,10,0
"31",12,11,0
"32",12,12,0
"33",12,13,0
"34",13,14,0
"35",13,15,0
"36",13,16,0
"37",14,17,0
"38",15,18,0
"39",17,19,0
"40",17,20,0
"41",18,1,0
"42",18,2,0
"43",19,3,0
"44",19,4,0
"45",19,5,0
"46",19,6,0
"47",19,7,0
"48",19,8,0
"49",20,9,0
"50",20,10,0
"51",21,11,0
"52",21,12,0
"53",21,13,0
"54",22,14,0
"55",22,15,0
"56",23,16,0
"57",23,17,0
"58",23,18,0
"59",24,19,0
"60",25,20,0
"61",26,1,0
"62",27,2,0
"63",27,3,0
"64",27,4,0
"65",28,5,0
"66",28,6,0
"67",28,7,0
"68",28,8,0
"69",28,9,0
"70",28,10,0
"71",28,11,0
"72",29,12,0
"73",29,13,0
"74",29,14,0
"75",30,15,0
"76",30,16,0
"77",31,17,0
"78",31,18,0
"79",31,19,0
"80",32,20,0
"81",33,1,0
"82",33,2,0
"83",34,3,0
"84",34,4,0
"85",35,5,0
"86",35,6,0
"87",35,7,0
"88",37,8,0
"89",37,9,0
"90",37,10,0
"91",37,11,0
"92",37,12,0
"93",40,13,0
"94",40,14,0
"95",40,15,0
"96",41,16,0
"97",41,17,0
"98",41,18,0
"99",41,19,0
"100",42,20,0
"101",43,1,0
"102",43,2,0
"103",44,3,0
"104",44,4,0
"105",44,5,0
"106",44,6,0
"107",44,7,0
"108",44,8,0
"109",45,9,0
"110",46,10,0
"111",46,11,0
"112",46,12,0
"113",47,13,0
"114",47,14,0
"115",47,15,0
"116",47,16,0
"117",47,17,0
"118",48,18,0
"119",48,19,0
"120",49,20,0
"121",50,1,0
"122",50,2,0
"123",50,3,0
"124",50,4,0
"125",50,5,0
"126",51,6,0
"127",51,7,0
"128",51,8,0
"129",52,9,0
"130",52,10,0
"131",52,11,0
"132",53,12,0
"133",53,13,0
"134",53,14,0
"135",54,15,0
"136",54,16,0
"137",55,17,0
"138",55,18,0
"139",56,19,0
"140",56,20,0
"141",56,1,0
"142",56,2,0
"143",57,3,0
"144",57,4,0
"145",57,5,0
"146",57,6,0
"147",57,7,0
"148",58,8,0
"149",58,9,0
"150",58,10,0
"151",58,11,0
"152",59,12,0
"153",59,13,0
"154",59,14,0
"155",59,15,0
"156",59,16,0
"157",60,17,0
"158",60,18,0
"159",60,19,0
"160",60,20,0
"161",60,1,0
"162",61,2,0
"163",61,3,0
"164",61,4,0
"165",62,5,0
"166",62,6,0
"167",62,7,0
"168",63,8,0
"169",63,9,0
"170",63,10,0
"171",63,11,0
"172",63,12,0
"173",63,13,0
"174",63,14,0
"175",63,15,0
"176",63,16,0
"177",64,17,0
"178",64,18,0
"179",64,19,0
"180",64,20,0
"181",65,1,0
"182",65,2,0
"183",65,3,0
"184",66,4,0
"185",69,5,0
"186",69,6,0
"187",69,7,0
"188",69,8,0
"189",69,9,0
"190",69,10,0
"191",69,11,0
"192",69,12,1
"193",70,13,0
"194",71,14,0
"195",71,15,0
"196",71,16,0
"197",71,17,0
"198",72,18,0
"199",72,19,0
"200",72,20,0
"201",73,1,0
"202",73,2,0
"203",73,3,0
"204",73,4,0
"205",74,5,0
"206",74,6,0
"207",74,7,0
"208",74,8,0
"209",74,9,0
"210",75,10,0
"211",75,11,0
"212",76,12,1
"213",77,13,0
"214",77,14,0
"215",77,15,0
"216",77,16,0
"217",78,17,0
"218",78,18,0
"219",78,19,0
"220",79,20,0
"221",79,1,0
"222",80,2,0
"223",81,3,1
"224",81,4,0
"225",82,5,0
"226",82,6,1
"227",82,7,0
"228",83,8,0
"229",83,9,1
"230",83,10,0
"231",83,11,0
"232",84,12,1
"233",84,13,0
"234",85,14,0
"235",85,15,0
"236",86,16,0
"237",87,17,0
"238",87,18,0
"239",87,19,0
"240",88,20,0
"241",88,1,1
"242",89,2,1
"243",90,3,1
"244",90,4,0
"245",90,5,0
"246",91,6,1
"247",91,7,0
"248",91,8,1
"249",91,9,1
"250",91,10,0
"251",91,11,1
"252",92,12,1
"253",93,13,1
"254",93,14,0
"255",93,15,1
"256",93,16,0
"257",93,17,0
"258",94,18,0
"259",94,19,0
"260",95,20,0
"261",95,1,1
"262",95,2,1
"263",96,3,1
"264",96,4,1
"265",96,5,0
"266",97,6,1
"267",97,7,0
"268",97,8,1
"269",97,9,1
"270",97,10,0
"271",98,11,1
"272",98,12,1
"273",98,13,1
"274",99,14,1
"275",99,15,1
"276",99,16,0
"277",100,17,0
"278",100,18,0
"279",100,19,0
"280",101,20,0
"281",101,1,1
"282",102,2,1
"283",102,3,1
"284",102,4,1
"285",103,5,1
"286",104,6,1
"287",104,7,1
"288",104,8,1
"289",105,9,1
"290",105,10,0
"291",105,11,1
"292",105,12,1
"293",106,13,1
"294",106,14,1
"295",108,15,1
"296",108,16,0
"297",108,17,1
"298",108,18,1
"299",109,19,0
"300",109,20,0
"301",110,1,1
"302",110,2,1
"303",111,3,1
"304",111,4,1
"305",111,5,1
"306",111,6,1
"307",112,7,1
"308",112,8,1
"309",113,9,1
"310",113,10,1
"311",113,11,1
"312",114,12,1
"313",114,13,1
"314",114,14,1
"315",115,15,1
"316",115,16,0
"317",117,17,1
"318",117,18,1
"319",117,19,0
"320",118,20,0
"321",118,1,1
"322",118,2,1
"323",118,3,1
"324",118,4,1
"325",119,5,1
"326",119,6,1
"327",119,7,1
"328",120,8,1
"329",120,9,1
"330",120,10,1
"331",121,11,1
"332",121,12,1
"333",121,13,1
"334",121,14,1
"335",122,15,1
"336",123,16,1
"337",123,17,1
"338",124,18,1
"339",124,19,0
"340",124,20,0
"341",124,1,1
"342",125,2,1
"343",125,3,1
"344",125,4,1
"345",125,5,1
"346",127,6,1
"347",127,7,1
"348",127,8,1
"349",127,9,1
"350",128,10,1
"351",128,11,1
"352",129,12,1
"353",129,13,1
"354",129,14,1
"355",130,15,1
"356",130,16,1
"357",130,17,1
"358",130,18,1
"359",131,19,0
"360",131,20,0
"361",132,1,1
"362",132,2,1
"363",133,3,1
"364",133,4,1
"365",133,5,1
"366",134,6,1
"367",134,7,1
"368",135,8,1
"369",135,9,1
"370",135,10,1
"371",136,11,1
"372",136,12,1
"373",136,13,1
"374",138,14,1
"375",138,15,1
"376",138,16,1
"377",139,17,1
"378",139,18,1
"379",139,19,0
"380",139,20,0
"381",140,1,1
"382",140,2,1
"383",140,3,1
"384",140,4,1
"385",140,5,1
"386",141,6,1
"387",142,7,1
"388",142,8,1
"389",143,9,1
"390",143,10,1
"391",143,11,1
"392",143,12,1
"393",144,13,1
"394",144,14,1
"395",144,15,1
"396",144,16,1
"397",145,17,1
"398",145,18,1
"399",145,19,0
"400",145,20,0
"401",145,1,1
"402",145,2,1
"403",146,3,1
"404",147,4,1
"405",147,5,1
"406",147,6,1
"407",147,7,1
"408",147,8,1
"409",148,9,1
"410",148,10,1
"411",148,11,1
"412",148,12,1
"413",149,13,1
"414",150,14,1
"415",150,15,1
"416",150,16,1
"417",150,17,1
"418",151,18,1
"419",151,19,0
"420",151,20,0
"421",151,1,1
"422",151,2,1
"423",152,3,1
"424",152,4,1
"425",153,5,1
"426",153,6,1
"427",153,7,1
"428",153,8,1
"429",154,9,1
"430",154,10,1
"431",155,11,1
"432",155,12,1
"433",155,13,1
"434",155,14,1
"435",156,15,1
"436",156,16,1
"437",157,17,1
"438",157,18,1
"439",157,19,0
"440",157,20,0
"441",158,1,1
"442",159,2,1
"443",160,3,1
"444",160,4,1
"445",160,5,1
"446",162,6,1
"447",162,7,1
"448",163,8,1
"449",164,9,1
"450",164,10,1
"451",164,11,1
"452",164,12,1
"453",164,13,1
"454",165,14,1
"455",165,15,1
"456",165,16,1
"457",165,17,1
"458",165,18,1
"459",166,19,0
"460",166,20,0
"461",166,1,1
"462",167,2,1
"463",167,3,1
"464",167,4,1
"465",167,5,1
"466",167,6,1
"467",168,7,1
"468",168,8,1
"469",168,9,1
"470",168,10,1
"471",169,11,1
"472",169,12,1
"473",169,13,1
"474",169,14,1
"475",170,15,1
"476",171,16,1
"477",171,17,1
"478",172,18,1
"479",172,19,0
"480",173,20,0
"481",173,1,1
"482",173,2,1
"483",174,3,1
"484",174,4,1
"485",175,5,1
"486",175,6,1
"487",176,7,1
"488",176,8,1
"489",177,9,1
"490",177,10,1
"491",177,11,1
"492",177,12,1
"493",178,13,1
"494",179,14,1
"495",179,15,1
"496",179,16,1
"497",180,17,1
"498",180,18,1
"499",180,19,0
"500",181,20,0
